subject,time,system,task,accurate,damage,enrolled,semesters,list
AX3,86.559,S,0_nita2,1,0,0,2.5,E1
AX3,107.698,S,0_cudun3,0,0,0,2.5,E1
AX3,139.225,Z,0_pu2,0,0,0,2.5,E2
AX3,164.425,Z,3_inanna,0,3,0,2.5,E2
AX3,155.183,Z,0_dam,0,0,0,2.5,E2
AX3,130.286,Z,0_sanga,0,0,0,2.5,E2
AX3,232.069,Z,1_ama,0,1,0,2.5,E2
AX3,109.035,Z,2_gig,0,2,0,2.5,E2
AX3,45.571,Z,2_duh,1,2,0,2.5,E2
AX3,67.994,Z,0_hub,0,0,0,2.5,E2
AX3,58.099,Z,0_ca3,1,0,0,2.5,E2
AX3,73.194,Z,4_tu7,0,4,0,2.5,E2
AX3,7.134,Z,0_kid,1,0,0,2.5,E2
AX3,68.142,Z,2_urudu,1,2,0,2.5,E2
AX3,72.891,Z,0_sipa,1,0,0,2.5,E2
AX3,9.47,Z,1_gal,1,1,0,2.5,E2
AX3,46.366,Z,2_alam,1,2,0,2.5,E2
AX3,15.067,Z,3_sir3,1,3,0,2.5,E2
PB2,733.451,H,2_alam,1,2,0,2.0,P2
PB2,127.0,H,2_duh,1,2,0,2.0,P2
PB2,80.404,H,0_pu2,1,0,0,2.0,P2
PB2,162.559,H,3_sir3,1,3,0,2.0,P2
PB2,257.581,H,3_inanna,0,3,0,2.0,P2
PB2,376.299,H,1_ama,1,1,0,2.0,P2
PB2,422.726,H,4_tu7,1,4,0,2.0,P2
PB2,206.571,H,0_sipa,1,0,0,2.0,P2
PB2,181.222,H,0_hub,0,0,0,2.0,P2
PB2,38.746,H,1_gal,1,1,0,2.0,P2
PB2,48.652,H,0_kid,0,0,0,2.0,P2
PB2,112.695,H,0_sanga,1,0,0,2.0,P2
PB2,102.223,H,2_gig,1,2,0,2.0,P2
PB2,177.917,H,0_dam,1,0,0,2.0,P2
PB2,91.54,H,0_ca3,1,0,0,2.0,P2
PB2,40.015,H,2_urudu,1,2,0,2.0,P2
PB2,207.45,Z,2_gada,0,2,0,2.0,P1
PB2,131.65,Z,0_gur,1,0,0,2.0,P1
PB2,136.971,Z,4_6,0,4,0,2.0,P1
PB2,934.277,Z,3_sa5,1,3,0,2.0,P1
PB2,78.646,Z,2_dugud,1,2,0,2.0,P1
PB2,242.944,Z,2_nag,0,2,0,2.0,P1
PB2,348.96,Z,0_kac4,1,0,0,2.0,P1
PB2,363.054,Z,0_cudun3,1,0,0,2.0,P1
PB2,135.391,Z,0_nita2,1,0,0,2.0,P1
PB2,138.536,Z,0_ziz2,1,0,0,2.0,P1
PB2,114.407,Z,0_kiri6,1,0,0,2.0,P1
PB2,161.996,Z,1_gag,1,1,0,2.0,P1
PB2,120.78,Z,1_tur,1,1,0,2.0,P1
PB2,203.852,Z,3_mac2,1,3,0,2.0,P1
PB2,204.557,Z,2_gir3,1,2,0,2.0,P1
PB2,633.422,Z,0_sig2+munus,1,0,0,2.0,P1
BY1,262.206,Z,0_gu4,1,0,1,1.0,E3
BY1,173.564,Z,0_hur,1,0,1,1.0,E3
BY1,358.721,Z,0_sa,1,0,1,1.0,E3
BY1,236.64,Z,0_ezen4,1,0,1,1.0,E3
BY1,109.572,Z,3_zag,0,3,1,1.0,E3
BY1,114.607,Z,3_sag,0,3,1,1.0,E3
BY1,519.707,Z,0_elam,0,0,1,1.0,E3
BY1,517.053,Z,2_dug,0,2,1,1.0,E3
BY1,65.137,Z,1_iku,1,1,1,1.0,E3
BY1,140.832,Z,2_lal3,1,2,1,1.0,E3
BY1,87.165,Z,0_bal,1,0,1,1.0,E3
BY1,114.084,Z,2_e2,1,2,1,1.0,E3
BY1,72.449,Z,4_dub,1,4,1,1.0,E3
BY1,124.169,Z,2_mec,1,2,1,1.0,E3
BY1,59.036,Z,1_2,0,1,1,1.0,E3
BY1,172.008,Z,0_zu9,1,0,1,1.0,E3
BY1,103.184,H,3_inanna,0,3,1,1.0,E2
BY1,153.338,H,2_alam,1,2,1,1.0,E2
BY1,25.951,H,2_urudu,1,2,1,1.0,E2
BY1,135.294,H,2_duh,1,2,1,1.0,E2
BY1,122.523,H,4_tu7,1,4,1,1.0,E2
BY1,235.616,H,0_ca3,0,0,1,1.0,E2
BY1,58.521,H,0_sanga,1,0,1,1.0,E2
BY1,50.044,H,0_kid,1,0,1,1.0,E2
BY1,40.648,H,2_gig,1,2,1,1.0,E2
BY1,195.069,H,3_sir3,1,3,1,1.0,E2
BY1,47.113,H,0_pu2,1,0,1,1.0,E2
BY1,49.975,H,0_dam,1,0,1,1.0,E2
BY1,37.415,H,0_sipa,1,0,1,1.0,E2
BY1,138.878,H,1_ama,1,1,1,1.0,E2
BY1,93.069,H,0_hub,1,0,1,1.0,E2
BY1,24.146,H,1_gal,1,1,1,1.0,E2
AY2,225.982,Z,0_sanga,1,0,1,1.0,E2
AY2,418.537,Z,0_sipa,1,0,1,1.0,E2
AY2,718.749,Z,0_hub,0,0,1,1.0,E2
AY2,162.675,Z,2_gig,1,2,1,1.0,E2
AY2,147.539,Z,0_pu2,1,0,1,1.0,E2
AY2,168.626,Z,4_tu7,0,4,1,1.0,E2
AY2,107.174,Z,2_urudu,1,2,1,1.0,E2
AY2,370.872,Z,0_kid,1,0,1,1.0,E2
AY2,263.017,Z,2_alam,1,2,1,1.0,E2
AY2,368.538,Z,1_ama,1,1,1,1.0,E2
AY2,68.904,Z,0_ca3,1,0,1,1.0,E2
AY2,147.135,Z,2_duh,1,2,1,1.0,E2
AY2,899.697,Z,3_sir3,1,3,1,1.0,E2
AY2,38.862,Z,1_gal,1,1,1,1.0,E2
AY2,129.258,Z,0_dam,1,0,1,1.0,E2
AY2,213.513,Z,3_inanna,0,3,1,1.0,E2
AY2,31.059,S,0_gur,1,0,1,1.0,E1
AY2,34.714,S,0_nita2,1,0,1,1.0,E1
AY2,276.847,S,1_gag,1,1,1,1.0,E1
AY2,31.988,S,2_dugud,1,2,1,1.0,E1
AY2,23.282,S,3_mac2,1,3,1,1.0,E1
AY2,35.693,S,0_kiri6,1,0,1,1.0,E1
AY2,26.044,S,0_ziz2,1,0,1,1.0,E1
AY2,190.284,S,2_nag,0,2,1,1.0,E1
AY2,40.526,S,2_gir3,1,2,1,1.0,E1
AY2,60.641,S,4_6,0,4,1,1.0,E1
AY2,71.639,S,2_gada,0,2,1,1.0,E1
AY2,586.351,S,0_cudun3,0,0,1,1.0,E1
AY2,111.4,S,1_tur,1,1,1,1.0,E1
AY2,37.36,S,0_sig2+munus,1,0,1,1.0,E1
AY2,195.716,S,0_kac4,0,0,1,1.0,E1
AY2,80.015,S,3_sa5,1,3,1,1.0,E1
PB1,60.375,H,2_gig,1,2,0,1.0,P2
PB1,170.022,H,4_tu7,1,4,0,1.0,P2
PB1,66.692,H,2_duh,0,2,0,1.0,P2
PB1,92.627,H,0_sipa,1,0,0,1.0,P2
PB1,424.086,H,0_hub,0,0,0,1.0,P2
PB1,52.137,H,0_dam,1,0,0,1.0,P2
PB1,42.683,H,0_pu2,1,0,0,1.0,P2
PB1,40.251,H,1_gal,1,1,0,1.0,P2
PB1,273.122,H,1_ama,0,1,0,1.0,P2
PB1,73.259,H,2_urudu,1,2,0,1.0,P2
PB1,56.656,H,0_kid,1,0,0,1.0,P2
PB1,167.348,H,0_ca3,1,0,0,1.0,P2
PB1,188.98,H,3_sir3,0,3,0,1.0,P2
PB1,348.015,H,2_alam,1,2,0,1.0,P2
PB1,185.482,H,3_inanna,1,3,0,1.0,P2
PB1,90.51,H,0_sanga,1,0,0,1.0,P2
PB1,147.687,Z,0_nita2,1,0,0,1.0,P1
PB1,115.141,Z,4_6,1,4,0,1.0,P1
PB1,184.003,Z,2_gada,0,2,0,1.0,P1
PB1,304.398,Z,3_mac2,1,3,0,1.0,P1
PB1,145.331,Z,1_gag,0,1,0,1.0,P1
PB1,188.57,Z,0_cudun3,1,0,0,1.0,P1
PB1,69.078,Z,0_gur,1,0,0,1.0,P1
PB1,286.485,Z,0_sig2+munus,0,0,0,1.0,P1
PB1,135.272,Z,0_ziz2,1,0,0,1.0,P1
